datetime,score,is_last
01:24 2021/08/24,2616,0
01:38 2021/08/24,2645,0
01:49 2021/08/24,2630,0
02:00 2021/08/24,2645,0
02:21 2021/08/24,2652,0
22:59 2021/08/24,2655,0
23:09 2021/08/24,2668,0
23:22 2021/08/24,2684,0
23:35 2021/08/24,2665,0
23:55 2021/08/24,2647,0
00:07 2021/08/25,2638,0
00:25 2021/08/25,2653,0
00:35 2021/08/25,2636,0
00:46 2021/08/25,2646,0
00:58 2021/08/25,2631,0
01:11 2021/08/25,2615,0
01:23 2021/08/25,2629,0
01:34 2021/08/25,2616,0
02:04 2021/08/25,2629,1
23:14 2021/08/25,2614,0
23:55 2021/08/25,2587,0
00:43 2021/08/26,2573,0
01:00 2021/08/26,2589,0
23:34 2021/08/26,2579,0
23:48 2021/08/26,2592,0
00:03 2021/08/27,2609,0
00:23 2021/08/27,2620,0
00:35 2021/08/27,2614,0
00:59 2021/08/27,2627,0
01:14 2021/08/27,2618,0
01:26 2021/08/27,2634,0
01:38 2021/08/27,2625,0
01:49 2021/08/27,2617,0
02:04 2021/08/27,2598,0
23:41 2021/08/27,2603,0
21:12 2021/08/28,2587,0
21:27 2021/08/28,2598,0
21:48 2021/08/28,2606,0
22:09 2021/08/28,2612,0
22:23 2021/08/28,2597,0
22:35 2021/08/28,2605,0
22:50 2021/08/28,2616,0
23:05 2021/08/28,2601,0
02:32 2021/08/29,2584,0
02:45 2021/08/29,2570,0
02:55 2021/08/29,2583,0
03:07 2021/08/29,2596,0
03:21 2021/08/29,2605,0
03:36 2021/08/29,2620,0
03:51 2021/08/29,2637,0
04:05 2021/08/29,2623,0
21:57 2021/08/29,2634,0
22:10 2021/08/29,2643,0
22:22 2021/08/29,2650,0
22:36 2021/08/29,2661,0
22:52 2021/08/29,2674,0
23:05 2021/08/29,2659,0
23:17 2021/08/29,2644,0
23:31 2021/08/29,2651,0
23:46 2021/08/29,2667,0
00:37 2021/08/30,2650,0
00:49 2021/08/30,2662,0
01:05 2021/08/30,2679,0
01:20 2021/08/30,2672,0
01:43 2021/08/30,2685,0
01:56 2021/08/30,2676,0
02:08 2021/08/30,2658,1
23:21 2021/08/30,2659,0
23:33 2021/08/30,2642,0
23:44 2021/08/30,2654,0
23:56 2021/08/30,2641,0
00:23 2021/08/31,2656,0
00:36 2021/08/31,2642,0
00:47 2021/08/31,2647,0
01:00 2021/08/31,2634,0
01:13 2021/08/31,2640,0
01:25 2021/08/31,2653,0
01:42 2021/08/31,2638,0
01:54 2021/08/31,2649,0
02:12 2021/08/31,2663,1
22:41 2021/08/31,2655,0
22:55 2021/08/31,2644,0
23:08 2021/08/31,2652,0
23:22 2021/08/31,2658,0
23:51 2021/08/31,2675,0
00:07 2021/09/01,2656,0
00:20 2021/09/01,2665,0
00:31 2021/09/01,2651,0
00:44 2021/09/01,2665,0
01:10 2021/09/01,2652,0
01:24 2021/09/01,2669,0
01:35 2021/09/01,2683,0
02:02 2021/09/01,2696,0
02:14 2021/09/01,2685,0
02:27 2021/09/01,2671,0
02:41 2021/09/01,2656,0
02:54 2021/09/01,2669,1
22:59 2021/09/01,2654,0
23:11 2021/09/01,2666,0
23:22 2021/09/01,2651,0
23:33 2021/09/01,2633,0
23:45 2021/09/01,2641,0
00:00 2021/09/02,2652,0
00:11 2021/09/02,2665,0
00:22 2021/09/02,2670,0
00:35 2021/09/02,2659,0
01:02 2021/09/02,2650,0
01:19 2021/09/02,2639,0
01:33 2021/09/02,2653,0
01:48 2021/09/02,2667,0
02:14 2021/09/02,2662,0
02:31 2021/09/02,2652,1
00:35 2021/09/03,2636,0
00:48 2021/09/03,2650,0
00:58 2021/09/03,2662,0
01:11 2021/09/03,2676,0
01:40 2021/09/03,2667,0
01:54 2021/09/03,2675,0
02:08 2021/09/03,2687,0
02:23 2021/09/03,2704,0
02:46 2021/09/03,2719,0
00:43 2021/09/04,2705,0
00:58 2021/09/04,2691,0
01:09 2021/09/04,2702,0
01:21 2021/09/04,2702,0
01:44 2021/09/04,2728,0
01:56 2021/09/04,2742,0
02:08 2021/09/04,2732,0
02:23 2021/09/04,2731,0
02:39 2021/09/04,2744,0
02:49 2021/09/04,2725,0
03:01 2021/09/04,2706,0
03:20 2021/09/04,2687,0
03:34 2021/09/04,2695,0
03:45 2021/09/04,2707,1
23:14 2021/09/04,2688,0
23:28 2021/09/04,2702,0
03:41 2021/09/05,2707,0
04:08 2021/09/05,2690,0
04:13 2021/09/05,2704,0
